,a.0.9,a.10.19,a.20.29,a.30.39,a.40.49,a.50.59,a.60.69,a.70.79,a.80.89,f,m,armed.forces,civilian.employed,not.in.labor.force,unemployed,abroad.house,diff.us.house,same.house,i.0.9999,i.10000.14999,i.15000.24999,i.25000.34999,i.35000.49999,i.50000.64999,i.65000.74999,i.75000.99999,abroad.born,naturalization,not.citizen,puerto.rico.born,us.born,divorced,married,never,separated,widowed,no.schooling,private,public,with.disability,without.disability,federal,local,not.working,private.no.profit,private.profit,self.employed.corp,self.employed.no.corp,state,with.insurance,without.insurance,asian,black,other,two,white
110,703,460,585,1118,688,659,559,367,188,2777,2550,14,2933,2287,93,26,479,4822,3438,28,207,158,397,166,230,703,33,1604,950,0,2740,571,1924,2355,216,261,4429,145,753,569,4758,296,91,2404,309,1868,64,166,129,4764,563,1273,430,291,238,3095
111,543,455,762,894,685,629,560,360,371,2516,2743,27,2968,2179,85,64,743,4452,3166,79,464,307,236,299,165,543,20,1002,1383,14,2840,348,2063,2501,0,347,4090,213,956,581,4678,243,148,2408,220,1975,148,76,41,4228,1031,708,580,614,151,3206
112,212,1063,1278,1424,1257,387,259,67,84,3079,2952,10,3273,2578,170,310,542,5179,4700,46,237,458,184,82,112,212,102,566,2822,43,2498,117,1648,4104,115,47,4213,140,1678,208,5823,46,65,3577,140,1939,56,192,16,3604,2427,490,101,2445,431,2564
113,257,369,466,296,354,361,378,145,48,1267,1407,10,1526,1001,137,64,195,2415,1862,8,107,81,148,94,88,286,79,842,589,4,1160,161,1242,1141,49,81,2162,100,412,275,2399,100,84,1156,146,973,86,114,15,2030,644,503,294,249,71,1557
114,466,316,557,504,356,589,413,328,154,1847,1836,19,1765,1822,77,55,217,3411,2224,37,137,95,285,242,114,549,78,738,635,7,2225,230,1681,1563,56,153,2984,228,471,495,3188,300,123,1902,179,968,84,92,35,3127,556,706,216,426,345,1990
115,528,661,858,885,783,688,532,254,210,2790,2609,47,2998,2221,133,77,920,4402,3069,141,206,287,277,213,208,998,148,811,938,89,3413,438,2018,2721,14,208,4053,450,896,487,4912,471,235,2394,224,1846,30,110,89,4663,736,928,774,250,249,3198
116,396,244,467,406,329,438,294,247,264,1673,1412,33,1663,1339,50,10,194,2881,1865,21,44,172,100,147,136,600,82,677,374,0,1952,260,1127,1387,38,273,2462,116,507,396,2689,219,133,1407,139,1027,19,105,36,2945,140,725,458,96,171,1635
117,758,507,698,976,802,689,759,284,93,2859,2707,22,3148,2252,144,74,282,5210,3232,66,167,500,487,178,73,863,38,1327,1400,0,2801,326,2348,2595,69,228,4191,156,1219,365,5201,314,157,2398,463,1726,77,413,18,4742,824,1061,679,579,235,3012
118,420,197,533,440,654,505,351,262,289,1864,1787,0,1973,1626,52,0,560,3091,2334,0,59,185,175,119,80,699,57,1151,414,15,2014,262,1601,1493,65,230,2717,254,680,389,3262,111,141,1655,40,1348,153,182,21,3034,617,1161,142,241,44,2063
119,779,1352,867,1001,1093,993,676,349,138,3754,3494,27,4078,2840,303,0,1067,6181,4610,297,264,363,454,402,79,779,139,1786,2464,31,2828,436,2692,3703,230,187,4533,324,2391,452,6796,274,318,3227,364,2872,35,25,133,5098,2150,1669,667,1056,408,3448
