,a.0.9,a.10.19,a.20.29,a.30.39,a.40.49,a.50.59,a.60.69,a.70.79,a.80.89,f,m,armed.forces,civilian.employed,not.in.labor.force,unemployed,abroad.house,diff.us.house,same.house,i.0.9999,i.10000.14999,i.15000.24999,i.25000.34999,i.35000.49999,i.50000.64999,i.65000.74999,i.75000.99999,abroad.born,naturalization,not.citizen,puerto.rico.born,us.born,divorced,married,never,separated,widowed,no.schooling,private,public,with.disability,without.disability,federal,local,not.working,private.no.profit,private.profit,self.employed.corp,self.employed.no.corp,state,with.insurance,without.insurance,asian,black,other,two,white
95,539,588,703,838,627,392,365,192,133,2225,2152,42,2423,1791,121,130,235,4012,2638,12,362,306,191,194,99,575,0,652,1033,28,2664,342,1330,2527,19,159,3096,112,1169,390,3987,184,114,1924,421,1391,135,185,23,3281,1096,400,648,583,119,2627
96,811,357,833,739,733,586,546,107,64,2242,2534,11,2872,1776,117,38,547,4191,2771,44,126,185,303,227,149,971,103,922,662,16,3073,364,2083,2145,107,77,3632,279,865,279,4497,282,204,1901,364,1747,82,166,30,4091,685,670,361,807,212,2726
97,336,412,174,384,419,485,361,156,56,1495,1288,0,1496,1208,79,6,300,2477,1688,27,32,25,99,116,26,770,131,464,188,43,1957,163,1417,1042,47,114,2078,172,533,218,2565,212,48,1274,123,869,115,128,14,2536,247,426,47,195,110,2005
98,280,368,474,426,439,515,294,227,112,1461,1674,14,1891,1152,78,14,175,2946,1697,40,146,199,255,236,154,408,107,759,641,0,1628,125,1390,1446,0,174,2422,115,598,203,2932,106,79,1239,157,1354,57,143,0,2715,420,638,31,412,74,1980
99,504,397,382,679,684,705,477,304,103,2053,2182,18,2421,1733,63,19,253,3963,2428,0,70,225,369,163,98,882,64,783,617,11,2760,376,2017,1695,15,132,3246,315,674,355,3880,298,127,1759,400,1325,78,212,36,3793,442,1115,62,255,116,2687
100,600,475,792,883,776,535,324,215,86,2336,2350,15,2773,1693,205,131,620,3935,2435,72,329,326,480,132,215,697,49,802,1433,13,2389,366,1624,2443,136,117,3612,142,932,291,4395,259,92,1895,378,1764,60,231,7,3941,745,929,348,848,141,2420
101,402,229,382,463,320,508,355,201,77,1426,1511,5,1666,1227,39,39,224,2674,1723,11,86,129,172,94,71,651,69,812,292,8,1756,209,1304,1308,71,45,2275,198,464,131,2806,216,106,1254,108,1025,51,135,42,2701,236,789,154,133,123,1738
102,735,525,980,1183,398,399,314,99,139,2004,2768,44,2844,1780,104,206,615,3951,2643,106,649,358,270,183,60,503,88,929,1786,18,1951,170,1269,3044,82,207,3747,199,826,283,4489,173,68,1910,169,2124,94,203,31,3151,1621,610,446,1550,311,1855
103,334,368,410,384,474,597,473,173,234,1808,1639,0,1764,1573,110,99,262,3086,2235,11,89,145,165,144,87,571,59,782,484,10,2112,202,1609,1476,21,139,2540,180,727,389,3058,282,121,1661,100,967,137,179,0,3214,233,998,171,65,158,2055
104,203,128,218,241,187,300,208,149,67,860,841,10,1005,672,14,25,194,1482,877,34,51,12,61,151,38,477,40,374,79,13,1195,84,925,630,18,44,1326,42,333,96,1605,114,63,689,90,577,78,56,34,1648,53,245,39,76,37,1304
105,287,293,183,409,320,462,371,122,211,1359,1299,10,1332,1221,95,16,374,2268,1518,23,83,111,102,197,80,544,45,496,116,0,2001,219,1219,1036,17,167,2015,100,543,240,2418,181,70,1307,157,716,65,121,41,2286,372,371,92,100,84,2011
106,276,283,155,304,276,361,363,219,85,1182,1140,8,1225,1068,21,0,90,2232,1483,3,26,25,96,85,47,557,28,433,215,0,1646,180,1196,819,8,119,1801,98,423,170,2152,169,35,1069,123,679,28,178,41,2164,158,231,89,218,191,1593
107,125,227,138,76,266,267,303,146,96,808,836,5,774,847,18,0,126,1518,1075,3,26,35,29,46,8,422,19,223,148,13,1241,69,916,552,11,96,1231,151,262,107,1537,143,25,848,71,408,70,58,21,1604,40,121,55,20,23,1425
108,218,394,204,277,459,455,253,161,89,1265,1245,12,1365,1075,58,23,157,2330,1470,0,70,40,67,143,50,670,113,396,214,50,1737,160,1169,1035,41,105,1932,201,377,180,2330,173,72,1132,150,759,86,79,59,2418,92,354,45,2,119,1990
109,530,260,526,748,422,205,218,217,123,1621,1628,11,1715,1452,71,21,136,3092,2171,8,297,175,210,122,19,247,34,530,1266,11,1408,104,1008,1936,47,154,2561,111,577,168,3081,136,75,1510,114,1334,21,45,14,2204,1045,506,160,861,30,1692
110,765,451,550,1111,638,667,585,370,190,2795,2532,9,2874,2345,99,32,496,4799,3412,30,196,150,392,161,215,771,36,1585,951,0,2755,568,1930,2356,208,265,4414,140,773,549,4778,302,90,2439,316,1831,58,170,121,4747,580,1288,440,285,249,3065
111,731,423,684,855,658,608,555,354,391,2477,2782,34,2799,2339,87,59,771,4429,3189,74,438,282,230,322,143,581,23,1018,1381,19,2818,355,2107,2437,0,360,4125,196,938,595,4664,255,130,2435,216,1955,153,65,50,4220,1039,696,562,636,138,3227
112,1650,810,955,1064,943,300,199,49,61,2785,3246,6,2450,3440,135,353,564,5114,4703,42,221,453,196,99,108,209,94,565,2844,44,2484,107,1635,4124,117,48,4187,141,1703,213,5818,45,65,3571,136,1939,59,200,16,3595,2436,488,92,2462,431,2558
113,270,377,501,305,326,346,373,126,50,1249,1425,14,1531,979,150,72,201,2401,1864,10,116,81,152,82,93,276,72,835,612,11,1144,169,1216,1162,45,82,2131,99,444,277,2397,80,74,1150,148,1006,88,115,13,2010,664,492,282,265,72,1563
114,451,321,529,492,346,625,432,337,150,1870,1813,23,1711,1866,83,64,221,3398,2285,36,129,87,273,237,103,533,76,746,636,7,2218,228,1713,1536,66,140,2993,221,469,505,3178,283,93,1955,167,970,80,107,28,3121,562,690,234,427,336,1996
115,546,649,865,901,765,694,541,254,184,2767,2632,47,2955,2263,134,75,940,4384,3049,157,198,291,272,222,196,1014,162,775,989,94,3379,423,2047,2727,16,186,4042,463,894,485,4914,453,201,2417,193,1920,43,93,79,4653,746,938,792,243,240,3186
116,393,235,456,421,308,465,282,237,288,1728,1357,26,1651,1353,55,7,213,2865,1897,10,30,163,125,146,133,581,83,688,384,0,1930,259,1163,1342,32,289,2471,125,489,432,2653,221,151,1411,135,1006,15,101,45,2957,128,724,446,93,162,1660
117,746,495,707,995,801,699,747,276,100,2851,2715,34,3135,2247,150,66,276,5224,3241,58,185,499,466,185,79,853,37,1341,1420,0,2768,344,2316,2592,69,245,4190,141,1235,378,5188,309,144,2415,451,1725,97,404,21,4756,810,1088,655,570,210,3043
118,415,195,521,453,663,515,338,256,295,1882,1769,0,2000,1599,52,0,615,3036,2316,0,48,175,187,124,93,708,63,1167,403,15,2003,249,1620,1503,56,223,2711,242,698,390,3261,109,132,1680,41,1349,140,181,19,3046,605,1196,119,236,55,2045
119,863,1374,823,1019,1052,1007,635,347,128,3752,3496,23,4015,2923,287,0,1092,6156,4585,300,241,374,464,407,84,793,150,1799,2478,30,2791,434,2696,3711,223,184,4520,317,2411,460,6788,259,303,3234,382,2873,35,21,141,5105,2143,1670,641,1052,421,3464
120,332,391,455,569,454,507,381,187,78,1666,1688,0,1863,1398,93,83,384,2887,2016,0,232,215,308,181,138,264,46,912,998,18,1380,312,985,1815,83,159,2625,111,618,346,3008,98,165,1487,183,1221,81,78,41,2478,876,903,252,837,145,1217
121,758,814,879,952,765,609,397,51,78,2529,2774,0,3048,2047,208,92,1268,3943,3261,72,384,662,472,171,106,175,124,911,1932,0,2336,432,1762,2753,260,96,3906,139,1258,206,5097,85,89,2235,201,2303,49,326,15,3857,1446,947,118,1335,194,2709
122,1023,767,962,988,1146,891,624,674,266,3875,3466,16,4022,3153,150,108,554,6679,4467,43,301,393,499,601,108,929,80,1613,1349,31,4268,621,2969,3429,82,240,5320,183,1838,465,6876,328,287,3272,462,2601,60,275,56,6201,1140,1574,635,609,815,3708
123,387,398,531,504,559,464,573,200,104,1875,1845,0,2045,1604,71,12,227,3481,2371,21,136,90,239,162,63,638,125,894,331,24,2346,310,1702,1467,109,132,2758,216,746,227,3493,146,100,1655,269,1232,110,167,41,3509,211,1068,216,43,151,2242
124,1099,503,902,1128,716,716,499,208,12,2822,2961,11,3165,2411,196,233,1225,4325,3652,146,353,466,474,229,49,414,50,1535,1985,35,2178,351,1863,3240,188,141,4120,373,1290,424,5359,109,57,2604,337,2230,159,245,42,4421,1362,778,1994,405,224,2382
125,1116,900,994,1516,1156,1228,620,422,39,3914,4077,176,4836,2837,142,73,957,6961,3974,91,828,444,452,462,363,1377,152,1524,1685,23,4607,631,3052,3971,225,112,6409,281,1301,372,7619,643,196,3126,357,3093,147,372,57,6383,1608,1260,1996,116,717,3902
126,1050,625,604,796,959,516,458,280,124,3051,2361,0,2612,2598,202,52,777,4583,3914,13,222,116,314,99,58,676,64,1188,1192,19,2949,388,1796,2909,147,172,3900,213,1299,313,5099,235,103,2785,171,1905,88,116,9,4320,1092,799,1377,1076,164,1996
