SERIALNO,AGE,SEX,EMPLOYMENT,MOBILITY,INCOME,CITIZENSHIP,MARITAL_STATUS,SCHOOLING,DISABILITY,WORK,INSURANCE,RACE
2018HU0171337,50,2,1,1,80000,5,1,1,2,1,2,1
2018HU0171337,28,2,1,1,24000,1,5,2,2,1,1,1
2018HU0171671,53,2,1,1,106000,1,1,1,2,1,1,1
2018HU0171671,54,1,1,1,150000,1,1,1,2,1,1,1
2018HU0172970,36,1,1,1,208000,1,1,1,2,1,1,1
2018HU0172970,36,2,1,1,168000,4,1,1,2,5,1,1
2018HU0172970,7,1,,1,,1,5,2,2,,1,1
2018HU0172970,5,1,,1,,1,5,2,2,,1,1
2018HU0172970,2,1,,1,,1,5,,2,,1,1
2018HU0172970,2,1,,1,,1,5,,2,,1,1
2018HU0173680,27,2,1,1,5000,1,5,1,2,1,2,6
2018HU0173680,2,1,,1,,1,5,,2,,1,6
2018HU0173680,59,1,1,1,0,4,1,1,2,6,1,6
2018HU0173680,59,2,1,1,20000,5,1,1,2,3,2,6
2018HU0173712,55,2,1,1,0,5,3,1,2,6,1,6
2018HU0180794,49,2,6,1,0,1,1,1,2,,1,1
2018HU0180794,48,1,1,1,500000,1,1,1,2,1,1,1
2018HU0180794,16,2,6,1,0,1,5,2,2,,1,1
2018HU0180794,12,2,,1,,1,5,2,2,,1,1
2018HU0180794,6,2,,1,,1,5,2,2,,1,1
2018HU0182408,27,1,1,3,70000,1,5,2,2,1,1,1
2018HU0182408,26,2,1,3,80000,1,5,1,2,1,1,1
2018HU0185833,59,2,1,1,24000,4,5,1,2,1,1,8
2018HU0185833,46,1,1,1,10000,5,1,1,2,1,2,8
2018HU0185833,41,2,6,1,0,5,1,1,2,,2,8
2018HU0189084,55,1,1,1,186000,1,5,1,2,5,1,1
2018HU0191205,76,1,1,1,15000,4,2,1,2,1,1,6
2018HU0191205,45,1,1,1,116000,4,1,1,2,5,1,6
2018HU0191205,11,2,,1,,1,5,2,2,,1,6
2018HU0191205,8,2,,1,,1,5,2,2,,1,6
2018HU0191205,40,2,1,1,50000,4,1,1,2,1,1,6
2018HU0192347,49,1,1,1,45000,4,4,1,1,3,1,2
2018HU0192347,32,2,6,1,0,5,1,1,2,1,2,2
2018HU0192347,23,1,1,3,43000,4,5,1,1,3,1,2
2018HU0192347,33,1,1,1,42000,5,1,1,2,2,2,2
2018HU0200941,81,2,6,3,0,4,2,1,2,,1,6
2018HU0202728,66,1,1,1,100000,1,1,1,2,1,1,1
2018HU0202728,63,2,1,1,140000,1,1,1,2,5,1,1
2018HU0203472,41,1,1,1,100000,1,5,1,2,1,1,1
2018HU0206622,77,2,6,1,0,4,2,1,2,,1,1
2018HU0206622,50,2,6,1,0,4,3,1,2,,1,1
2018HU0206622,8,1,,1,,1,5,2,2,,1,1
2018HU0209418,49,1,1,1,2200,4,1,1,2,7,1,2
2018HU0209418,42,2,1,1,60000,4,1,1,2,1,1,2
2018HU0209418,7,1,,1,,1,5,2,2,,1,2
2018HU0209418,3,1,,1,,1,5,3,2,,1,2
2018HU0209992,57,2,1,1,18900,1,5,1,2,6,1,1
2018HU0210876,85,2,6,1,0,4,2,1,2,,1,1
2018HU0211038,63,2,6,1,0,4,3,1,2,1,1,6
2018HU0212766,74,2,6,1,0,1,5,1,2,,1,1
2018HU0213082,56,1,1,1,20000,1,1,1,2,7,1,1
2018HU0213082,54,2,1,1,120000,1,1,1,2,1,1,1
2018HU0213082,4,1,,1,,1,5,3,2,,1,1
2018HU0214290,49,2,1,1,100000,1,5,1,2,1,1,1
2018HU0214945,56,1,1,1,121000,1,1,1,2,5,1,1
2018HU0214945,57,2,1,1,26400,4,1,1,2,3,1,9
2018HU0214945,15,1,,1,0,1,5,2,2,,1,1
2018HU0216020,73,2,6,1,0,1,2,1,2,6,1,1
2018HU0219825,49,2,1,1,0,4,4,1,2,6,1,2
2018HU0219825,19,2,6,1,1200,1,5,2,2,1,1,2
2018HU0219825,27,2,1,2,40000,4,5,1,2,1,2,2
2018HU0221993,37,2,1,3,56000,1,1,1,2,2,1,1
2018HU0221993,36,1,3,3,0,5,1,1,2,2,1,6
2018HU0222554,34,2,1,1,6700,5,1,1,2,1,1,1
2018HU0222554,38,1,1,1,98000,4,1,1,2,1,1,2
2018HU0222554,9,1,,1,,1,5,3,2,,1,9
2018HU0222554,7,2,,1,,1,5,3,2,,1,9
2018HU0222554,3,2,,1,,1,5,3,2,,1,9
2018HU0222554,1,2,,1,,1,5,,2,,1,9
2018HU0225014,34,2,1,1,124000,4,1,1,2,1,1,6
2018HU0225014,36,1,1,1,135000,4,1,1,2,1,1,6
2018HU0225014,2,1,,1,,1,5,,2,,1,6
2018HU0225014,26,1,1,1,53000,4,5,1,2,1,1,8
2018HU0227748,29,1,1,1,72000,1,1,1,2,1,1,1
2018HU0227748,28,2,1,1,27000,1,1,1,2,1,1,1
2018HU0227748,2,2,,1,,1,5,,2,,1,1
2018HU0229660,60,1,1,1,141000,3,1,1,2,5,1,1
2018HU0229660,62,2,1,1,101000,1,1,1,2,5,1,1
2018HU0229660,26,1,1,1,23400,1,5,1,2,1,1,1
2018HU0233115,68,1,1,1,100000,1,1,1,2,1,1,1
2018HU0233115,62,2,6,1,85000,1,1,1,2,3,1,1
2018HU0233115,23,1,1,1,10000,1,5,2,2,1,1,1
2018HU0233258,24,2,1,3,30000,1,5,2,2,2,1,1
2018HU0233258,23,2,1,1,6000,1,5,2,2,4,1,1
2018HU0233807,83,2,6,1,0,4,5,1,2,,1,1
2018HU0236941,45,1,1,1,80000,4,1,3,2,1,1,6
2018HU0236941,44,2,1,1,40000,4,1,1,2,1,1,6
2018HU0236941,25,1,6,1,10000,1,5,1,2,1,1,6
2018HU0236941,9,1,,1,,1,5,2,2,,1,6
2018HU0236941,7,2,,1,,1,5,2,2,,1,6
2018HU0236941,65,1,1,1,20000,4,2,1,2,1,1,6
2018HU0236941,68,2,1,1,22000,4,5,1,2,1,1,6
2018HU0241498,34,1,1,1,94000,4,1,1,2,1,1,6
2018HU0241498,33,2,1,1,80000,4,1,1,2,2,1,6
2018HU0248452,34,1,1,3,38000,1,5,1,2,1,2,6
2018HU0249458,94,2,6,1,0,1,2,1,1,,1,1
2018HU0249632,64,1,6,1,0,4,1,1,2,7,1,6
2018HU0249632,42,2,1,1,50000,4,1,1,2,7,1,6
2018HU0249632,25,2,1,3,15000,5,5,2,2,1,1,6
2018HU0253954,32,1,4,1,100000,1,1,3,2,5,1,1
2018HU0253954,30,2,6,1,0,1,1,1,2,5,1,1
2018HU0253954,4,2,,1,,3,5,3,2,,1,1
2018HU0253954,2,1,,1,,1,5,,2,,1,1
2018HU0253954,0,1,,,,1,5,,2,,1,1
2018HU0254229,67,1,6,1,0,1,1,1,1,,1,1
2018HU0254229,67,2,1,1,75000,1,1,1,2,2,1,1
2018HU0255297,26,2,6,1,0,5,1,1,2,,1,6
2018HU0255297,33,1,1,1,0,4,1,1,2,6,1,6
2018HU0255297,1,2,,1,,1,5,,2,,1,6
2018HU0258968,56,2,6,1,0,1,5,1,2,6,1,1
2018HU0264789,66,1,1,1,81000,4,1,1,2,4,1,1
2018HU0264789,63,2,6,1,10000,4,1,1,1,4,1,1
2018HU0268893,65,1,6,1,0,1,1,1,2,6,1,1
2018HU0268893,62,2,1,1,180000,5,1,1,2,1,1,1
2018HU0268893,21,2,3,1,0,5,1,1,1,9,1,1
2018HU0274323,43,1,1,1,0,5,1,1,2,6,2,1
2018HU0274323,44,2,3,1,0,5,1,1,2,1,2,1
2018HU0274323,1,2,,1,,1,5,,2,,2,1
2018HU0274323,12,1,,3,,5,5,1,2,,2,1
2018HU0274323,1,1,,1,,5,5,,2,,1,1
2018HU0274889,33,1,6,3,0,5,1,1,2,,1,1
2018HU0274889,36,2,1,3,71000,5,1,1,2,2,1,6
2018HU0276565,65,2,1,1,155000,4,3,1,2,1,1,6
2018HU0276565,33,1,1,3,35000,1,5,1,2,1,1,6
2018HU0281612,61,2,1,1,101000,4,1,1,2,2,1,6
2018HU0281612,62,1,6,1,0,4,1,1,2,,1,6
