,a.0.9,a.10.19,a.20.29,a.30.39,a.40.49,a.50.59,a.60.69,a.70.79,a.80.89,f,m,armed.forces,civilian.employed,not.in.labor.force,unemployed,abroad.house,diff.us.house,same.house,i.0.9999,i.10000.14999,i.15000.24999,i.25000.34999,i.35000.49999,i.50000.64999,i.65000.74999,i.75000.99999,abroad.born,naturalization,not.citizen,puerto.rico.born,us.born,divorced,married,never,separated,widowed,no.schooling,private,public,with.disability,without.disability,federal,local,not.working,private.no.profit,private.profit,self.employed.corp,self.employed.no.corp,state,with.insurance,without.insurance,asian,black,other,two,white
72,642,521,333,546,462,508,370,200,37,1934,1685,28,1884,1680,27,0,280,3339,2188,31,75,80,169,197,80,799,117,570,334,23,2575,213,1574,1774,29,29,2422,223,974,321,3298,236,141,1706,191,1142,55,121,27,3440,179,688,515,70,114,2232
73,428,413,537,480,505,670,463,332,132,2095,1865,42,2228,1606,84,62,487,3411,2240,30,50,174,197,284,99,886,111,696,172,14,2967,287,1988,1579,41,65,2816,200,944,332,3628,290,218,1707,215,1242,37,99,152,3717,243,398,215,237,156,2954
74,243,198,484,391,365,218,193,134,38,1244,1020,16,1363,871,14,84,457,1723,1225,3,68,112,204,131,63,458,114,227,413,33,1477,245,815,1138,24,42,1765,126,373,104,2160,173,143,878,208,794,30,38,0,2017,247,405,191,21,114,1533
75,717,665,438,725,695,566,522,274,257,2644,2215,62,2213,2522,62,78,675,4106,3135,36,107,81,128,291,79,1002,229,791,385,0,3454,350,2243,1972,28,266,3401,264,1194,329,4530,402,187,2636,164,1232,40,152,46,4316,543,609,87,124,523,3516
76,692,600,701,700,624,754,812,350,152,2580,2805,125,2667,2503,90,92,730,4563,3323,22,81,168,315,126,79,1271,128,828,421,58,3950,177,2718,2288,50,152,3784,186,1415,377,5008,436,233,2670,306,1368,131,183,58,4978,407,1006,446,49,155,3729
77,303,603,362,393,389,717,569,238,80,1852,1802,50,1854,1655,95,68,349,3237,2236,0,40,94,115,156,67,946,87,485,194,19,2869,178,1846,1501,4,125,2564,189,901,381,3273,486,147,1774,161,840,74,113,59,3487,167,561,196,13,57,2827
78,580,757,448,698,597,659,688,384,92,2540,2363,115,2386,2302,100,48,389,4466,2989,11,44,124,252,226,77,1180,187,517,182,40,3977,268,2539,1909,12,175,3503,220,1180,241,4662,446,251,2496,246,1208,96,113,47,4603,300,554,267,37,170,3875
79,748,790,391,688,870,1002,710,361,136,2832,2864,127,2757,2705,107,69,466,5161,3421,29,63,101,207,220,135,1520,244,668,302,15,4467,217,3143,2121,31,184,4046,274,1376,546,5150,617,272,2914,368,1304,80,75,66,5505,191,683,404,12,246,4351
80,733,710,357,442,825,725,643,336,73,2440,2404,80,2481,2204,79,20,297,4527,2719,90,50,53,204,200,121,1407,136,770,202,83,3653,163,2590,1951,42,98,3453,178,1213,345,4499,710,264,2323,161,1231,54,86,15,4689,155,777,531,94,261,3181
81,342,313,370,256,383,559,543,258,37,1650,1411,34,1716,1268,43,9,360,2692,1747,0,16,100,92,165,105,836,99,391,239,0,2332,157,1706,1133,45,20,2241,207,613,276,2785,455,108,1330,97,904,54,84,29,2879,182,375,478,88,153,1967
82,762,456,567,856,454,604,446,225,91,2386,2075,47,2468,1857,89,12,439,4010,2445,21,246,326,259,336,109,719,97,888,629,10,2837,351,1942,1968,73,127,3268,271,922,237,4224,404,221,1962,207,1529,71,49,18,4199,262,667,806,326,285,2377
83,413,324,275,338,319,342,221,126,0,1233,1125,41,1167,1096,54,3,353,2002,1503,0,46,42,58,130,57,522,57,521,190,0,1590,128,1098,1078,15,39,1562,86,710,171,2187,156,100,1191,139,700,5,52,15,2105,253,371,540,30,281,1136
84,972,1225,520,695,1122,1247,809,432,498,3914,3606,101,3538,3801,80,135,853,6532,4330,0,235,310,238,200,52,2155,333,1020,892,18,5257,520,3372,3146,57,425,5123,335,2062,659,6861,436,365,3921,383,2056,93,196,70,7040,480,1436,213,127,431,5313
85,317,93,807,824,484,294,348,35,6,1673,1535,30,2346,735,97,22,784,2402,1157,75,80,209,243,252,180,1012,53,648,425,0,2082,318,1244,1579,60,7,2854,195,159,92,3116,228,123,855,274,1547,101,80,0,3086,122,657,384,121,304,1742
86,886,503,847,983,674,686,812,265,177,3052,2781,18,3092,2527,196,177,905,4751,3536,14,132,316,552,284,172,827,66,936,1176,13,3642,466,2257,2842,78,190,4476,222,1135,444,5389,282,267,2693,421,1809,240,78,43,5189,644,1205,857,255,323,3193
87,224,429,151,225,341,500,338,313,108,1343,1286,29,1221,1320,59,15,254,2360,1677,2,30,29,45,83,37,726,37,435,54,5,2098,129,1503,905,10,82,1983,125,521,241,2388,244,102,1391,121,608,71,78,14,2605,24,413,123,20,59,2014
88,558,782,392,469,661,916,788,429,186,2811,2370,60,2554,2414,153,75,471,4635,3260,18,98,157,217,176,85,1170,202,844,420,32,3683,332,2406,2061,80,302,3805,202,1174,378,4803,352,261,2585,294,1313,128,155,93,4628,553,1143,134,60,189,3655
